t,ActivePower,Y(t-1),WindSpeed
134,-6.111713222,-8.368827226,3.511683156
135,-8.539810142,-6.111713222,3.084268316
136,6.364039406,-8.539810142,3.2685221
137,151.6165852,6.364039406,4.137666517
138,-9.168252528,151.6165852,2.865694272
139,48.46745441,-9.168252528,3.871484026
140,20.48631857,48.46745441,3.045177644
141,72.4522744,20.48631857,3.933241947
142,157.7029303,72.4522744,4.120799839
143,119.3902622,157.7029303,3.685620874
144,-2.987064269,119.3902622,3.416610989
145,156.3125268,-2.987064269,4.302857747
146,162.1059361,156.3125268,4.312320884
147,220.6620714,162.1059361,4.351082153
148,283.8776108,220.6620714,4.793405367
149,484.1386742,283.8776108,5.553952379
150,326.4945432,484.1386742,4.940415668
151,161.8273272,326.4945432,4.076033172
152,202.2173281,161.8273272,4.285052442
153,170.2073815,202.2173281,3.941910337
154,268.0805053,170.2073815,4.668072033
155,85.375072,268.0805053,3.939041947
156,292.9797471,85.375072,4.740629218
157,39.21917849,292.9797471,4.064805439
158,272.7265174,39.21917849,4.637355383
159,174.1900313,272.7265174,3.939457768
160,338.0707806,174.1900313,5.072360956
161,908.8295911,338.0707806,6.494063026
162,661.4256194,908.8295911,6.538294189
163,920.1911626,661.4256194,7.038631379
164,1198.667261,920.1911626,7.371847074
165,1201.645027,1198.667261,7.470773353
166,1223.851309,1201.645027,7.455964206
167,1121.580018,1223.851309,7.789949639
168,1059.0634,1121.580018,7.360468084
169,954.0846422,1059.0634,6.920088722
170,1068.478326,954.0846422,7.182370212
171,1281.567345,1068.478326,7.566540829
172,1569.005905,1281.567345,8.422325874
173,1080.108333,1569.005905,7.325344133
174,1156.56618,1080.108333,7.421131284
175,1429.261083,1156.56618,7.887493983
176,1197.077356,1429.261083,7.653257405
177,1132.909781,1197.077356,7.2706553
178,993.8391074,1132.909781,7.286883921
179,853.4031872,993.8391074,6.835066522
180,1359.049056,853.4031872,7.865966272
181,1458.55095,1359.049056,8.120332972
182,1341.509686,1458.55095,7.671168121
183,1523.747444,1341.509686,8.276405033
184,1404.571863,1523.747444,8.294652147
185,1275.725053,1404.571863,7.665768084
186,1483.293074,1275.725053,8.085341674
187,1694.979233,1483.293074,8.973344094
188,1233.036511,1694.979233,7.880452179
189,1156.217386,1233.036511,7.745221856
190,1338.543921,1156.217386,7.99886463
191,1161.976334,1338.543921,7.505673363
192,843.4183167,1161.976334,7.090177533
193,720.8050382,843.4183167,6.383793935
194,759.1382533,720.8050382,7.184027611
195,764.556272,759.1382533,6.79052486
196,733.5832405,764.556272,6.626168195
197,669.3351705,733.5832405,6.703505042
198,680.4658617,669.3351705,6.491949767
199,641.0239856,680.4658617,6.5560887
200,552.6812595,641.0239856,6.207652347
201,479.4434294,552.6812595,5.736988683
202,532.60497,479.4434294,6.010078732
203,679.4747189,532.60497,6.472062905
204,749.3577506,679.4747189,6.672366517
205,576.43987,749.3577506,6.196468279
206,596.8840705,576.43987,6.207763063
207,565.9012556,596.8840705,6.018294272
208,401.4742206,565.9012556,5.726143587
209,593.3228739,401.4742206,6.031660972
210,416.5422853,593.3228739,5.455015658
211,421.1460953,416.5422853,5.338123353
212,477.3028332,421.1460953,5.848378732
213,290.0176528,477.3028332,5.0956165
214,396.3336011,290.0176528,5.491215721
215,280.4180539,396.3336011,4.761633144
216,278.1522756,280.4180539,5.064510956
217,256.9724142,278.1522756,4.906031358
218,165.3520814,256.9724142,4.259944289
219,155.4752593,165.3520814,4.2250524
220,100.9396163,155.4752593,3.925647263
221,181.6653489,100.9396163,4.412405372
222,176.0622795,181.6653489,4.391894521
223,245.894645,176.0622795,4.546433139
224,417.8263272,245.894645,5.593971989
225,504.8374826,417.8263272,6.019994537
226,473.6568928,504.8374826,5.905566539
227,322.6157584,473.6568928,4.941331432
228,349.7907011,322.6157584,5.065283144
229,262.5927584,349.7907011,4.995852437
230,263.7591318,262.5927584,4.7718116
231,209.9769222,263.7591318,4.669427628
232,53.84430405,209.9769222,3.484641979
233,32.66046917,53.84430405,3.4116946
234,-4.3192983,32.66046917,3.064410917
235,48.31257092,-4.3192983,3.662826184
236,119.9551633,48.31257092,4.047241942
237,130.3702175,119.9551633,4.445588628
238,152.9411163,130.3702175,4.414631332
239,216.8716594,152.9411163,4.90527765
240,256.40243,216.8716594,4.938405095
241,322.0423988,256.40243,4.993099871
242,501.0236305,322.0423988,5.902894563
243,463.0853821,501.0236305,5.709236689
244,458.3002228,463.0853821,5.644727583
245,465.6207321,458.3002228,5.564715695
246,361.2463728,465.6207321,5.28477205
247,367.4685763,361.2463728,5.276778837
248,356.1022956,367.4685763,5.237488722
249,431.4243089,356.1022956,5.664336674
250,268.6964859,431.4243089,4.823116483
251,208.6378226,268.6964859,4.5377209
252,245.3059553,208.6378226,5.003110321
253,257.1604106,245.3059553,4.7542776
254,239.3396526,257.1604106,4.660515653
255,268.167285,239.3396526,4.841766361
256,217.8800168,268.167285,4.688241853
257,242.4152862,217.8800168,4.580983942
258,186.5689503,242.4152862,4.250805406
259,167.967525,186.5689503,4.213084
260,146.9245498,167.967525,3.929199828
261,143.9445937,146.9245498,4.042405053
262,193.9784321,143.9445937,4.286535165
263,129.5953959,193.9784321,3.993963063
264,183.2612476,129.5953959,3.866099811
265,278.4593961,183.2612476,4.68227755
266,269.4023328,278.4593961,4.915249783
267,138.4782424,269.4023328,4.412599742
268,70.13357237,138.4782424,4.077133161
269,208.4833897,70.13357237,4.398584032
270,230.4973866,208.4833897,4.056123429
271,11.62664802,230.4973866,3.306210353
272,75.1319437,11.62664802,4.019362989
273,60.07357692,75.1319437,3.808041968
274,-7.343777467,60.07357692,2.983605444
275,2.19820465,-7.343777467,3.371383144
276,-6.892682233,2.19820465,2.654688772
277,-8.4844799,-6.892682233,2.650157774
278,-8.416044974,-8.4844799,2.78503989
279,-8.527578394,-8.416044974,2.897827644
280,-7.843406837,-8.527578394,2.41898989
281,-8.208676153,-7.843406837,3.401099865
282,-5.837502405,-8.208676153,2.831099858
283,-6.306670284,-5.837502405,2.752084058
284,11.92189191,-6.306670284,2.889666511
285,52.65957524,11.92189191,3.609033222
286,56.25735445,52.65957524,2.976773505
287,15.03686766,56.25735445,3.688099839
288,27.41681211,15.03686766,3.404510363
289,-4.628163183,27.41681211,3.746405422
290,145.3813821,-4.628163183,4.111794589
291,-5.8629399,145.3813821,3.241663011
292,115.1789529,-5.8629399,4.137560917
293,76.70369098,115.1789529,3.281610363
294,163.5094958,76.70369098,4.267372072
295,166.6743985,163.5094958,3.854799879
296,61.1387111,166.6743985,3.615578758
297,135.6496137,61.1387111,3.850026147
298,227.1681782,135.6496137,4.396662984
299,412.8320424,227.1681782,5.0583292
300,402.4245717,412.8320424,5.308722111
